Response Number,Question,Answer,Therapist
R1,"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Oh, crying in therapy is very normal! I have a stack of kleenex boxes in my office. Cry away, therapist are very used to it:) First time being in therapy is scary, but you'll soon know if you are a good match.",Sue BatesChange your dating & relationship patterns.
R2,"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","9 Ways Crying May Benefit Your HealthDetoxifies the body. Reflex tears clear debris, like smoke and dust, from your eyes. ...Helps self-soothe. Crying may be one of your best mechanisms to self-soothe. ...Dulls pain. ...Improves mood. ...Rallies support. ...Helps you recover from grief. ...Restores emotional balance. ...Helps baby breathe. ...Helps baby sleep. ...","Dr Traci KochendorferTime for you to "" Claim IT"" with over 15 years in health and wellness, Ph.D Psy.D D.D. F.P.L.C. recognized on TV and Magazines,"
R3,"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Yes, if crying is how you are expressing an emotion, then not only would it be normal, but hopefully encouraged, because it's an important part of therapy to have a safe space to express your emotions. We might encourage you to put words to the tears as well, to help you expand on your experience and begin to make more sense of it.As a therapist, our job is help you open up and feel comfortable enough doing so. I sincerely hope no therapist would ever shame you for whatever experience you are having in the room.","David KleinHumanistic, LGBT-Affirmative Psychotherapy for Individuals & Couples"
R4,"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Please feel free to cry during therapy if you suddenly feel painful emotions arising when you describe some of your unsatisfying and unfulfilling relationships and situations.Crying when realizing the emotional hurt and unfairness between you and someone, clears you for new ways of handling interactions.As a therapist, I always have a box of tissues on the table next to the couch where people who utilize my therapy, sit.I hope you will soon discover that once your tears unlock your awareness of harmful relationships in your life, you will quickly see the freedom to establish new and happier patterns of relating.Have a good therapy!","Sherry Katz, LCSWCouples and Family Therapist, LCSW"
R5,"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","People do cry in therapy sometimes, but it's not at all necessary to cry in order for most kinds of therapy to be helpful. When you start counseling you don't yet know your counselor very well, so it's normal to keep your feelings in check until you feel comfortable and a bit more relaxed with your counselor and with the situation. Sometimes, though, there are emotions that have been waiting and waiting to finally find someone who will listen with a kind ear. If you feel safe right away in the situation with your counselor, you might just cry in spite of your fears about it. Your therapist is used to people expressing how they feel and will keep strict confidentiality, so even though it's embarrassing, finally experiencing someone truly listening with empathy and kindness may just be worth it. It's okay too to let your counselor know right at the beginning that you're kind of freaked out about getting too emotional in front of another person.",Miriam Dyak
R6,"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","It is is absolutely normal to cry in therapy. I can understand wanting to keep everything together and put your best foot forward with everyone you come into contact with, but it can be such a powerful experience to cry with somebody that can hear you and accept you. It's so brave of you to go and share yourself with your counselor! I hope you will keep being brave as you begin healing.",Kevin MimmsBuilding Better Connections
R7,"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","First off, I want to commend you for taking that tough, but important step in starting therapy. That’s a brave commitment to make to yourself. Yes, crying in therapy is not only normal, it’s encouraged! Crying is the body’s natural response to sadness, grief, happiness (think tears of joy!), stress and even anger, for some people. Therapy is a safe place to feel and express the full range of emotions, whether those are pleasant, unpleasant or anything in between. When you cry in therapy, you allow your mind and body to release stuck emotions that haven’t had the opportunity to come out yet. Do you ever notice that after you cry you feel a sense of relief? Like a giant weight was lifted off your shoulders? That’s a sign of healing and you can learn to embrace that. Even science has shown that certain hormones, like cortisol, are released in tears. If you’re worried about your therapist judging you for crying in session, let’s put that fear to rest. As therapists, we see people cry every day. Some clients cry immediately as they start their first session. Some clients don’t cry until a year or more into therapy. Everyone’s different. But trust me, we’ve seen it all and we won’t blink an eye or think a single negative thing about it. If anything, your therapist will probably see your pain and want to do everything in their power to help you work through it.","Natalie Moore | Holistic Therapy🛋 For creative, ambitious millennials"
R8,"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Lots of people do cry in session, but your therapist won't be uneasy with this.  Crying is a natural response and it also releases toxins, so some might say it's necessary!  Remember that you can be in charge of what you talk about in your session and if there's something that feels too uncomfortable, just say, ""I'm not ready to talk about that.""  Your counselor wants  you to feel at ease and will probably not push you right away to a very uncomfortable place.  As you get to know your therapist, you will feel more relaxed and even not worry so much about how you appear to them.  It's normal to be anxious going into a new situation especially when you might not feel in control of uncomfortable emotions.  Don't give up, go and put your best effort in! Hope that helps, Allison",Allison VelezIs your relationship worth it?
R9,"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Crying is a natural process when you talk about upsetting things especially in therapy when you are opening up and being so vulnerable. I suggest that you consider how you would feel/respond to someone that was confiding to you and they began to cry. If you felt concerned, supportive and empathetic then you know exactly how us therapists feel when our clients are emotional in sessions. I suggest that you think of times where you have cried and how you felt at that time in public and what would have helped to make you feel less uncomfortable during your tears. I think of crying like any other natural reaction of our body such as sneezing, laughing, coughing. You can't help but do those things and most people won't really judge negatively if you do it in public. Similarly, crying is our body's reaction when we are emotional whether it is tears of joy, from a hilarious joke or from being upset. If you are very uncomfortable about crying but willing to start therapy perhaps you can ask the therapist if you can turn your chair around if you begin crying. This way you are not facing them and can self soothe without worrying about how you physically look at that time.I wish you luck and you should be proud of yourself for starting therapy and I wish you a wonderful journey on this important path that you are embarking on.",Fenny Goyal‘Sahara’ means support and that is what I will do to help you meet your potential
R10,"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?",It is not uncommon to be a bit nervous meeting your therapist (or another person) for the first time. Your therapist understands that calling and getting an appointment was a big step for you and will do their best to put you at ease. Providing a safe environment for our clients includes not judging them and being comfortable with the information and emotions that they share with us. It is ok to cry and to trust that the therapist will honor this as part of your process.,Meg McKeon
