question,response
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","It's completely normal to cry during therapy — in fact, it's one of the most common things that happens there. Therapists expect it, and more importantly, they're trained to handle it with care and without judgment. You won't embarrass yourself.
Here's the thing: therapy is literally designed to be a safe space where you can express difficult emotions. Your therapist has seen countless people cry, and they see it as part of the healing process, not something awkward or shameful. They're not going to think less of you for it — if anything, showing emotion often means you're doing the real work of therapy.
Some practical reassurance:

Therapists keep tissues nearby for a reason — they're prepared for this
You don't have to apologize if you do cry (though many people reflexively do)
It's okay to take a moment to collect yourself; there's no rush
Not everyone cries in therapy, and that's fine too — there's no \""right\"" way to do it

The fact that you're nervous means you care about doing this right, which is actually a good sign. But try to remember: therapy is for you. It's one of the few places where you can be completely honest about how you feel without worrying about how you come across.
Good luck with your first session. The anticipation is often harder than the actual appointment."
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?",Many people cry during their therapy sessions. Actually most people cry in their therapist's office. I tell my clients that it's safe to cry in my office and crying isn't a sign of weakness. It's a normal human response to pain. People actually do more harm to themselves by trying not to cry than by crying. Crying is very cleansing and an important part of the healing process for many people.
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Please do not worry about crying. People cry, laugh, rage, rant, and talk during counseling sessions. Part of the therapy process is to look at your feelings, and to feel what you are actually feeling (instead of what you think you should feel). So if you need to cry, that's ok. If you feel embarrassed because you cried, or if you feel anxious that you might cry, well those feelings are ok as well. Your counselor can help you manage your feelings so that you can attain your goals, and your counseling session is the perfect place for that."
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","First off, take a deep breath. What you’re feeling is incredibly common, but I can tell you with total confidence: **crying in therapy is not just ""normal""—it is practically the industry standard.**

It is the one place on earth where ""leaking from the eyes"" is considered a sign that the work is actually happening. Here is why you can stop worrying about it.

---

### 1. It’s a ""Green Flag"" for Therapists
Therapists don't see tears as a sign of weakness or embarrassment; they see them as a sign of **safety and progress**. 
* **The Breakthrough:** Often, the moment a client starts to cry is the moment they’ve finally stopped ""performing"" or being ""fine.""
* **The Release:** Therapy is about processing emotions. Crying is your body’s physical way of doing exactly that.

### 2. They Are Prepared for It
If you walk into a bakery, you expect to see flour. If you walk into a therapy office, the therapist expects to see tears.
* **The Tissue Box:** There is a reason a box of tissues is the cliché centerpiece of every therapist's office. They go through those boxes like water.
* **Professionalism:** They have seen every version of crying—the silent single tear, the shaky voice, and the full-on ""ugly cry."" They won't be shocked, and they certainly won't judge you.

### 3. You Can’t ""Fail"" Therapy
You might be worried that crying makes you look ""unstable"" or ""dramatic,"" but therapy is the one space where you are explicitly paid to be human.
* **Control:** If you start to feel overwhelmed, you can even tell your therapist: *""I'm feeling really emotional and I'm afraid I'm going to cry.""* * **Pacing:** A good therapist will help you pace yourself if things feel too intense too fast.

---

### Pro-Tips for Your First Session
Since you’re ""freaking out"" a bit, here are a few things to keep in mind to lower the stakes:

* **The First Session is an Interview:** You don't have to dive into your deepest trauma in the first 10 minutes. The first session is mostly about ""housekeeping"" (history, goals, and seeing if you vibe with the therapist).
* **The ""After-Care"":** If you do cry, you might feel a bit drained afterward (a ""vulnerability hangover""). Try not to schedule anything high-stress immediately after your appointment.
* **Water is Key:** Bring a bottle of water. Taking a sip is a great way to pause and ground yourself if you feel like you're losing your composure.

> **Bottom line:** You are going to therapy to take care of yourself. If you cry, it just means you're doing the work. You’ve got this.

What is the main thing you're hoping to get out of these sessions, once the initial nerves settle down?"
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","It's totally normal to cry during therapy.  In fact, it's encouraged!  It's a place to explore deeper feelings.  You might feel silly at first, and that's normal too.  But the more you show up in counseling, the more comfortable you'll feel.  You're there to be true to yourself, and that's brave.  A good therapist won't shame you for crying.  You got this!"
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","People do cry in therapy sometimes, but it's not at all necessary to cry in order for most kinds of therapy to be helpful. When you start counseling you don't yet know your counselor very well, so it's normal to keep your feelings in check until you feel comfortable and a bit more relaxed with your counselor and with the situation. Sometimes, though, there are emotions that have been waiting and waiting to finally find someone who will listen with a kind ear. If you feel safe right away in the situation with your counselor, you might just cry in spite of your fears about it. Your therapist is used to people expressing how they feel and will keep strict confidentiality, so even though it's embarrassing, finally experiencing someone truly listening with empathy and kindness may just be worth it. It's okay too to let your counselor know right at the beginning that you're kind of freaked out about getting too emotional in front of another person."
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","First off, I want to commend you for taking that tough, but important step in starting therapy. That’s a brave commitment to make to yourself. Yes, crying in therapy is not only normal, it’s encouraged! Crying is the body’s natural response to sadness, grief, happiness (think tears of joy!), stress and even anger, for some people. Therapy is a safe place to feel and express the full range of emotions, whether those are pleasant, unpleasant or anything in between. When you cry in therapy, you allow your mind and body to release stuck emotions that haven’t had the opportunity to come out yet. Do you ever notice that after you cry you feel a sense of relief? Like a giant weight was lifted off your shoulders? That’s a sign of healing and you can learn to embrace that. Even science has shown that certain hormones, like cortisol, are released in tears. If you’re worried about your therapist judging you for crying in session, let’s put that fear to rest. As therapists, we see people cry every day. Some clients cry immediately as they start their first session. Some clients don’t cry until a year or more into therapy. Everyone’s different. But trust me, we’ve seen it all and we won’t blink an eye or think a single negative thing about it. If anything, your therapist will probably see your pain and want to do everything in their power to help you work through it."
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Hi there !  As someone who has practiced as a clinical psychologist for 25 years , I would say that crying is NOTHING TO WORRY ABOUT AT ALL ! Almost every single person I have worked with has cried at one point or another.  Starting therapy takes a lot of courage; when you work with a therapist ,once you feel safe ,  you talk about a lot of very private and potentially emotional things that you may have never discussed with anyone before.  I have seen  people cry with sadness , cry with relief at releasing painful things they have held onto for a long time, cry because they feel so relieved that they finally feel heard.   I myself have sometimes cried with clients because some things they talk about are so profoundly moving.   I can assure you that most , if not all , therapists expect clients to cry  and there is nothing to be embarrassed about.   Crying can be very cathartic and can allow us to release a lot of painful feelings we have been stuffing down.   Crying is  often a sign that you are really working things through and getting in touch with feelings that you need to get in touch with in order to heal .So , to summarize , don't worry at all about crying! It will probably feel uncomfortable  at first , but I promise you , you will not be judged for crying in therapy.   And it will be less embarrassing once it happens a time or two and you are assured that your therapist will be there for you and won't judge you !Good luck !!"
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","It’s completely normal to cry during therapy—many people do! Therapy is a safe space designed for you to explore your feelings, even the ones you might usually hold back. Crying is often a natural and healthy response to processing difficult emotions, and therapists are very used to it. In fact, it’s often seen as a sign of progress because it shows you’re allowing yourself to be vulnerable and honest about how you feel.

The idea of crying in front of someone, especially someone you don’t know well yet, can feel intimidating or embarrassing, but keep in mind that your therapist’s job is to provide a non-judgmental and supportive environment. They’ve likely seen countless people cry and won’t think less of you for it. Instead, they’ll probably see it as a moment of connection and an opportunity to better understand and help you.

If you’re feeling nervous about it, you can even bring up this fear during your session. Sharing your worries about crying or feeling vulnerable can be a helpful starting point for the conversation. Therapists are there to help you feel comfortable and supported, so they’ll meet you where you are.

Remember, therapy is your space, and it’s okay to feel however you feel in that moment—tears included. You’re not alone in this, and there’s nothing to be ashamed of. It’s a brave step to start therapy, and you’re already doing something amazing for yourself."
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","It is is absolutely normal to cry in therapy. I can understand wanting to keep everything together and put your best foot forward with everyone you come into contact with, but it can be such a powerful experience to cry with somebody that can hear you and accept you. It's so brave of you to go and share yourself with your counselor! I hope you will keep being brave as you begin healing."
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Yes, if crying is how you are expressing an emotion, then not only would it be normal, but hopefully encouraged, because it's an important part of therapy to have a safe space to express your emotions. We might encourage you to put words to the tears as well, to help you expand on your experience and begin to make more sense of it.As a therapist, our job is help you open up and feel comfortable enough doing so. I sincerely hope no therapist would ever shame you for whatever experience you are having in the room."
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Please feel free to cry during therapy if you suddenly feel painful emotions arising when you describe some of your unsatisfying and unfulfilling relationships and situations.Crying when realizing the emotional hurt and unfairness between you and someone, clears you for new ways of handling interactions.As a therapist, I always have a box of tissues on the table next to the couch where people who utilize my therapy, sit.I hope you will soon discover that once your tears unlock your awareness of harmful relationships in your life, you will quickly see the freedom to establish new and happier patterns of relating.Have a good therapy!"
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","9 Ways Crying May Benefit Your HealthDetoxifies the body. Reflex tears clear debris, like smoke and dust, from your eyes. ...Helps self-soothe. Crying may be one of your best mechanisms to self-soothe. ...Dulls pain. ...Improves mood. ...Rallies support. ...Helps you recover from grief. ...Restores emotional balance. ...Helps baby breathe. ...Helps baby sleep. ..."
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?",It is not uncommon to be a bit nervous meeting your therapist (or another person) for the first time. Your therapist understands that calling and getting an appointment was a big step for you and will do their best to put you at ease. Providing a safe environment for our clients includes not judging them and being comfortable with the information and emotions that they share with us. It is ok to cry and to trust that the therapist will honor this as part of your process.
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","When talking about difficult issues, it is very normal to cry. Crying is a natural way for us to cope with the sadness that we experience in life. When confronting some of these things in a counseling session, tears just seem to come naturally. Every Counselor should be well equipped to handle that level of emotion, and you would be far from the first to cry when talking with a Counselor."
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Oh, crying in therapy is very normal! I have a stack of kleenex boxes in my office. Cry away, therapist are very used to it:) First time being in therapy is scary, but you'll soon know if you are a good match."
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Crying is a natural process when you talk about upsetting things especially in therapy when you are opening up and being so vulnerable. I suggest that you consider how you would feel/respond to someone that was confiding to you and they began to cry. If you felt concerned, supportive and empathetic then you know exactly how us therapists feel when our clients are emotional in sessions. I suggest that you think of times where you have cried and how you felt at that time in public and what would have helped to make you feel less uncomfortable during your tears. I think of crying like any other natural reaction of our body such as sneezing, laughing, coughing. You can't help but do those things and most people won't really judge negatively if you do it in public. Similarly, crying is our body's reaction when we are emotional whether it is tears of joy, from a hilarious joke or from being upset. If you are very uncomfortable about crying but willing to start therapy perhaps you can ask the therapist if you can turn your chair around if you begin crying. This way you are not facing them and can self soothe without worrying about how you physically look at that time.I wish you luck and you should be proud of yourself for starting therapy and I wish you a wonderful journey on this important path that you are embarking on."
"Is it normal to cry during therapy? I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Lots of people do cry in session, but your therapist won't be uneasy with this.  Crying is a natural response and it also releases toxins, so some might say it's necessary!  Remember that you can be in charge of what you talk about in your session and if there's something that feels too uncomfortable, just say, ""I'm not ready to talk about that.""  Your counselor wants  you to feel at ease and will probably not push you right away to a very uncomfortable place.  As you get to know your therapist, you will feel more relaxed and even not worry so much about how you appear to them.  It's normal to be anxious going into a new situation especially when you might not feel in control of uncomfortable emotions.  Don't give up, go and put your best effort in! Hope that helps, Allison"
