Response Number,Answer,Therapist
R1,"Dear there could be under lining issues maybe even medical.  Energy Work and a good check up could help.  Maybe even try Reiki ...professional like myself offer services distance that can help with this.  But first go get a good check up.  family doctor, blood tests, CAT scan, hormones, women.......  always consult your doctor first or if you need immediate help contact a crisis hotline   I also would suggest this BOOK to read.  If you want something to listen to or practice try this Program.","Dr Traci KochendorferTime for you to "" Claim IT"" with over 15 years in health and wellness, Ph.D Psy.D D.D. F.P.L.C. recognized on TV and Magazines,"
R2,"Hello, and thank you for your question and seeking advice on this. Feelings of worthlessness is unfortunately common. In fact, most people, if not all, have felt this to some degree at some point in their life. You are not alone. Changing our feelings is like changing our thoughts - it's hard to do. Our minds are so amazing that the minute you change your thought another one can be right there to take it's place. Without your permission, another thought can just pop in there. The new thought may feel worse than the last one! My guess is that you have tried several things to improve this on your own even before reaching out on here. People often try thinking positive thoughts, debating with their thoughts, or simply telling themselves that they need to ""snap out of it"" - which is also a thought that carries some self-criticism. Some people try a different approach, and there are counselors out there that can help you with this. The idea is that instead of trying to change the thoughts, you change how you respond to them. You learn skills that allow you to manage difficult thoughts and feelings differently so they don't have the same impact on you that they do right now. For some people, they actually DO begin to experience less hurtful thoughts once they learn how to manage the ones they have differently. Acceptance and Commitment Therapy may be a good choice for you. There is information online and even self-help books that you can use to teach you the skills that I mentioned. Because they are skills, they require practice, but many people have found great relief and an enriched life by learning them. As for suicidal thoughts, I am very glad to read that this has not happened to you. Still, you should watch out for this because it can be a sign of a worsening depression. If you begin to think about this, it is important to reach out to a support system right away. The National Suicide Prevention Lifeline is 1-800-273-8255. The text line is #741741. I hope some other colleagues will provide you more suggestions. Be well...Robin Landwehr, DBH, LPCC","Robin Landwehr, DBH, LPCC, NCCMental Health in a Primary Care Setting"
R3,"First of all, it’s a strength that you are openly seeking help for this problem.  As others have said, it would be best to get a therapist you can work with because as humans we heal in relationship with others.  Here are a few things I would explore and suggest working on:1.) Questions to explore:  When did you start feeling worthless?  Why do you feel worthless?  What does it mean to be worthwhile?  Where are these beliefs coming from?  How are you measuring your worth? 2.) Check the facts: are people TELLING you that you’re worthless or treating you like it?  If so, start setting some boundaries, communicating your feelings, and/or get those people out of your life.  Surround yourself with people who make you feel good.  If you believe you’re worthless even if you’re treated well by people you’re surrounded with then...3.) start to challenge the belief that you’re worthless.  Start to cultivate the belief that you’re worthwhile regardless.  Is there any part of you that can believe it, even just a little bit?  Spend time focusing on this each and every day. 4.) do things that help you build confidence and mastery.  Find something you enjoy and want to get better at or learn more about.  Invest time in learning a new skill and practice being patient with yourself.5.) practice mindfulness.  That involves being non-judgmental and curious rather than criticizing yourself or emotions.  6.) do something that makes you feel like you have a purpose- even if it’s small Iike visiting some lonely people at a nursing home or volunteering at an animal shelter.  It may seem small but it matters a great deal to the one you helped!I wish you all the hope, healing, and happiness you deserve!",Ashton SullivanDialectical Behavior Therapy and EMDR
R4,First thing I'd suggest is getting the sleep you need or it will impact how you think and feel. I'd look at finding what is going well in your life and what you can be grateful for. I believe everyone has talents and wants to find their purpose in life. I think you can figure it out with some help.,Lee KingI use an integrative approach to treatment and have an online therapy practice.
R5,"It sounds like you are having some pretty severe depression. Depression can cause insomnia, and make a person focus on their own perceptions that they are ""worthless"". It is important to remember that other people may not truly perceive you as worthless. This is the depression talking.  I think that it is extremely important when you are this depressed, to sit down and write down some positives about yourself. What are your strengths? What are some positive things that your have done in your life? It concerns me that you are having suicidal thoughts. It sounds like now is the time to act on the idea of getting some help for yourself. If you feel like you might actually take your life, I would recommend that you go to a hospital emergency room, or a mental health crisis clinic right away to get some help. The most important thing right now is to keep yourself safe. If you are feeling like you are not going to hurt yourself despite your suicidal thoughts, I would recommend that you focus on finding a therapist as soon as possible. I don't know what your situation is in terms of insurance. The back of your insurance card should inform you how to obtain mental health services. There are also low cost services available with such places as Catholic Charities, and others. Your local county mental health agency should be able to refer you to some appropriate places. Good luck. Remember to identify your strengths, and the good things about yourself.  Marie","Marie O'Meara, LCSW"
R6,"If everyone thinks you're worthless, then maybe you need to find new people to hang out with.Seriously, the social context in which a person lives is a big influence in self-esteem.Otherwise, you can go round and round trying to understand why you're not worthless, then go back to the same crowd and be knocked down again.There are many inspirational messages you can find in social media.  Maybe read some of the ones which state that no person is worthless, and that everyone has a good purpose to their life.Also, since our culture is so saturated with the belief that if someone doesn't feel good about themselves that this is somehow terrible.Bad feelings are part of living.  They are the motivation to remove ourselves from situations and relationships which do us more harm than good.Bad feelings do feel terrible.   Your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today.","Sherry Katz, LCSWCouples and Family Therapist, LCSW"
R7,"I know feeling worthless is very hard to handle.  You are valid!  Has anyone who you value and respect, said you are worthless? Working thru how you can begin to feel worthy within yourself. To self-generate within yourself how valuable you are, and invest less time in what others think of you. No one gets to decide the sum total of your worth other than you.  Practicing self-love and compassion, grace towards yourself, and feeling confident within yourself could be a crucial step towards feeling more worthwhile. List something you are good at and have been complimented on. Also this video  Self-Esteem & Worthiness Affirmations - Remember Your Worth and Value could be beneficial.    Perhaps engaging in some thought/pattern interruption, where you Interrupt the thought, focus, redirect elsewhere, somewhere more positive, thinking on times, events, activities where you felt worthy and capable.",Dr. Meredyth LawrynceServing Clients Nationwide
R8,"Hello, I'm sorry that you experiencing a very low moment in life. Sometimes we all go through life circumstances that can be challenging, traumatizing and overwhelming. On reading this question, it sounds as though you have gone through some hardships that have  made you question what your sense of self in what  belief, value especially about yourself. It sounds as though you are emotionally overwhelmed and stuck and now you are overthinking. You may be depressed and you may need to talk to someone professional about your condition. Processing past hurts maybe somewhere to start especially identifying the pain, hurt, anger, loss among the other emotions you may be feeling. Again you may need to talk with someone so you do not feel defeated in your efforts.",Damalie NamaleHealing relationships
R9,"Hi there - Here are some things for you to consider:First things first - its much more likely that You feel that you are worthless to everyone - not them thinking that.  Its hard to think or perceive beyond our own mindset.  It is doable but with practice and assistance. Often what we think/believe about ourselves is NOT what others think or perceive.  This is a thinking trap known as mind reading.  I have a blog post on my website about this.  Second, although what you are describing sounds consistent with depression, know that you - with professional help -- can positively effect how you feel and perceive yourself and your surroundings.  MANY others have felt similarly and have gotten betterThird, be curious about your situation.  Ask yourself, ""Am I sick and tired of being sick and tired?""  If so, then ask the next question, ""then why have I Not gotten around to doing something about it?""  If not tired of being sick and tired, then ask yourself, ""why not? And do I REALLY want to feel this way for life?""  Depressed folks generally do not prioritize themselves to seek - and sustain help.  Hence, why you said you ""never got around to it"" all the while feeling down and blue and not able to sleep.  Here is another question to ask yourself, ""If I were oozing blood or pus from a cut and it would not stop - would I seek help?""  If so, why then, but not now in this situation?  Fourth, seek a live licensed mental health professional NOW.  I understand you never thought about suicide before, but that was before.  Suicidal thoughts and tendencies can be sudden and automatic.  Depression is one of the main drivers for suicidal ideations and attempts.  This is a nice first step to gain insight.  Take the next step, to seek help.  Ohh, I understand it can be a maze in finding help - some ways to do it are:- If you have health insurance to their site and use a keyword search for depression- Read some of the information and see which one connects with you a bit more - No health insurance, go to Psychology Today or this site to see if someone is in city (or state if online therapy). Search by depression- Also if having a major issue paying for therapy - go to a church counseling center or non profit to see if they have reduced rates. They can be staffed with interns but they are all supervised by seasoned clinicians - and that help is much better than what you likely have now.  A motto I have - partially from my grandmother - is Know Better. Do Better. Live Better.  You are in process of knowing.  Continue on.","Reggie Smith, LPC, CTP, CCATPTexas Couples, Anxiety, Trauma therapist"
R10,You need to seek counseling/psychotherapy !,Fred RogersQue Sera Sera Counseling 
R11,"Feeling worthless is a hard feeling to have. How do you carry this with you all the time? The question is what is getting in the way of you ""fixing"" this one? This definitely is about how you feel about yourself. Try some Brain/Bodyspotting Therapy, to help heal the deep limbic system, since that's where your emotions live anyway. Hope this helps.","Michele RameyMRTherapy, LLC- Because Help Is One Of A Kind"
R12,"Short answer: YES.Feelings of worthlessness can have many sources. Some examples: feeling like you don't measure up; repeated experiences where you were told you were worthless; abrupt life changes; and depression. Once those thoughts start, we often latch onto them for dear life because they serve a purpose and actually help us in some way. A big key to starting the journey to self-acceptance and self-worth is to understand why you feel worthless. Where the heck did these thoughts come from? Get curious about it. Once you start to understand where these invalid thoughts are coming (I know these thoughts are invalid for a fact because I, a random therapist on the internet, cares for you and knows your worthy. So, take the jump and start exploring that intricate noggin' of yours. You've got this!","Abigail EckI'm so grateful you're here. Finding a therapist is scary, so I'd like to make this comfortable for you."
R13,"How we feel is often connected to what we are thinking.  If you pay attention to your patterns of thinking (self-defeating thoughts, negative self-talk, etc.) and reframe or replace unhealthy thoughts, you most likely will be able to change how you're feeling, which will also lead to changes in behavior.  I support clients in going through this recognize/replace process.",Whitney JenningsGet unstuck and show up as your best self in life.
R14,"The sense of being worthless appears to certainly  be a limiting belief about yourself that you have been cultivating. One way to transform a limiting belief to a more adaptive and empowering belief would be to explore if there exists any evidence to support the limiting belief about worthlessness. First list all of your personal strengths,  or talk with a supportive friend who can give you feedback about the qualities you have that they love about you. You may soon discover that there is little evidence to support your limiting belief. You can also experiment with asking yourself- supposing I believed the opposite of my limiting belief? The theorist, Karen Horney used to say that each individual has a unique universal inner power which represents a fountain of the growth process. I encourage you to tap into that inner power and develop new, empowering ideas about who you truly are.",Audrey ONealBi-lingual Psychotherapist and  HeartMath Certified Practitioner
R15,"You can absolutely change that feeling, which is actually a combination of thoughts and feelings.  These types of thoughts are classified as core beliefs because they are typically beliefs about who you are (e.g., I am a bad person, I am unworthy, I am incompetent, etc.).  Shame is a cluster of feelings that accompanies these beliefs (a combination of self-hatred, sadness, disgust, and guilt).  Although you can't make them go away completely, you can definitely shrink them.  These beliefs have actual neural pathways in the brain--the more you travel these pathways, the stronger the belief.  One way to fight these is by creating strengthening neural pathways that lay more dormant, such as beliefs that you are lovable, worthy, and deserve to be alive.  Even if you don't believe these thoughts, thinking them creates competition with the core beliefs you want to change.  The more you travel the new neural pathways, the stronger they will get over time.I understand this can take time and feel really tough to do.  Something you can do to deal with your feelings in a more short-term way is to focus improving your sleep.  As you are probably experiencing, lack of sleep can contribute to worsened depression.  Your primary doctor may be able to help with your specific sleep issues but there are some ways you can work on sleep on your own.  Something you can try is writing down the worries or thoughts you have before you lay down for the night.  This can help the brain to feel less inclined to ruminate as your paper/journal holds the thoughts for you. It also helps to have a nightly routine that stays the same every night.  This tells your brain to start producing chemicals that induce sleep, just like going into a restroom can signal the body to urinate.  If you find yourself lying awake in bed or waking in the night, leave the room and do something calming/relaxing if you are awake for more than 10-15 minutes.  It can be tough to change your body's relationship to sleep, so give it time--it can take a few weeks to really notice changes.One of the best strategies we have for dealing with depressive symptoms is behavioral activation. That could mean socialization, exercise, or anything that gets you doing an activity you wouldn't normally do.  If exercise seems too intimidating or unrealistic, you can just view it as movement--anything that gets you up and moving.  Taking walks outside, gardening, cleaning, etc. can count as movement.  It's easy to surrender to the lack of energy, but that also keeps the cycle of depression alive.Medications can help as well if you feel like you need something beyond what you can do for yourself at the moment.  Antidepressants are great options for depressive symptoms.  Research shows that combining psychotherapy with antidepressants can have really effective outcomes.I'm unsure if your sentence about not contemplating to attempting suicide means you don't feel that way now or that things are moving in that direction.  If they are, make note of your social supports and who you would be willing to reach out to.  If you have someone you are comfortable (enough) to let them know what you are going through, it may be worth your effort to have them plan to check in on you.  You can also contact the Hopeline by texting HOPE to 741741 or the Suicide Prevention Lifeline at 1-800-273-TALK.","Kaileen McMickle, MS, LPCLicensed Professional Counselor"
R16,"Hello and thank you for your question. In my work with clients who are experiencing depression due to low self-esteem, it is not uncommon to experience the myriad of symptoms that you are having. You have already taken the first step toward change by acknowledging that it needs to occur so congratulate yourself. One way to begin to change your feeling of being worthless to everyone is to change your ""self-talk"". You may have learned this negative language (ex. use of absolutes like always, never, all the time, everyone, and no one) throughout your life and being mindful of this language and being specific (ex. at times, some times, etc.), can help lessen the feeling of being ""worthless."" Another step to remedy this is to learn ways to become more compassionate with yourself. Attending a support group could help with learning self=compassion. Joining a support group could also help you see that you are not alone in how you feel, thus helping you to feel less isolated and less uncommon. Lastly, seek out professional assistance from a therapist, counselor, psychologist, psychiatrist, etc. Some insurances are waiving co-pays (depending on your plan eligibility and benefits) during the COVID-19 epidemic and if you do not have insurance, try out OpenPath.org. They offer low cost online (telehealth) counseling to those who are in need of it. Remember, you are NOT alone. This feeling is all too common, but with the right help, support, encouragement, and resources, you can turn this feeling of ""worthlessness"" into a feeling of ""worthiness"". Best wishes. Valerie Kuykendall-Rogers, MA, LPC-S","Valerie Kuykendall-RogersSpecializing in Reconciling, Restoring, and Renewing Relationships"
R17,"Therapy is essential for those that are feeling depressed and worthless. When I work with those that are experiencing concerns related to feeling of depression and issues with self esteem. I generally work with my client to help build coping skills to reduce level of depression and to assist with strengthening  self esteem, by guiding my client with CBT practices. CBT helps with gaining a better awareness of how your thought process influences your belief system, and how your beliefs impact your actions and the outcome of your behaviors.  This process isn’t easy but it helps teach an individual that we don’t always have control over what happens in our lives but we can control how we interpret, feel, and behave. CBT is good for individuals dealing with depression, anxiety, toxic relationships, stress, self esteem, codependency, etc.","Shauntai Davis-YearginPersonalized, private online counseling for individuals and couples"
R18,I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change. You can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself.,Jordan WhiteLicensed Social Worker at Oak Roots Dynamic
R19,"Heck, sure thing, hun!Feelings of 'depression' have a deeply-rooted base in physical structures that may not be functioning very well at present; and, we can certainly turn them on again using means that you are able to find around the house and with relative ease :)After that, emotional and spiritual support will be liberally applied.","Dr. Timothy Paul'man'; Online - ""Natural Health Consultant and Coach"""
R20,You are exhibiting some specific traits of a particular temperament type. Seek out a counselor who provides NCCA temperament therapy and discover the joy of being you -- God loves you as you are!,Susan HaberkornOnline Christian Counseling for Women
R21,"That is intense. Depression is a liar. Sometimes depression places these glasses over our eyes, these dark sunglasses that change how we see things. Depression tells us things like ""you're worthless"" ""no one likes you"" ""don't worry about doing anything."" And it is so easy for us to listen and to be tricked into thinking that just because we feel something means it is true. Please know that even if you are feeling worthless right now, that doesn't mean you are worthless.The first step to working through this is recognizing what is going on. Recognizing when depression is telling you the same story (ie; being worthless) with different words (ie worthless here, worthless there) and making an effort to talk back. While I can not give you a diagnosis of depression, reading what you are going through, it sounds like you might need help to get back on track. Seeing a counselor can open an entirely new option up wherein someone who is not involved in your life can help you without judgement and with an objective perspective. This can do wonders in unwrapping these kinds of thoughts. Wishing you the absolute best!",Jennifer GerlachYour Story Matters
R22,It sounds like you may be putting yourself last. You wrote that you want to fix your issues but never get around to it. I wonder how you are spending your mental and physical energy. Are you spending time taking care of and doing for others? I also wonder where the thoughts and feelings of being worthless are coming from - are you around people who treat you poorly or are hurtful? Or do you feel it is more of a worry you have but aren't really sure how others feel? It may be helpful to talk to someone about your feelings - a counselor perhaps - to clarify your feelings and move forward from se that are hurting you.,"Christina McGrath Fair""Enlightenment is when a wave realizes it is the ocean."" -Thich Nhat Hanh"
R23,"It must be really difficult to experience what your going through right now.  It takes a lot of courage to reach out. It sounds like you want to get better, but perhaps need some help to get over the hump.  Many of the symptoms you have described are consistent with a person who is dealing with depression.   Depression is a treatable condition.  Typically, if these symptoms have persisted for more than two weeks, then it is a good idea to seek professional help.   Someone who is trained in dealing with depression.  Initially, a comprehensive assessment would be completed to rule out any other causes for your symptoms and to determine the exact nature of your presenting concern.  Then, in collaboration with one another, a tailored treatment plan would be developed, focusing on how to best help you reach your goals.  The good news is that their is hope for getting better! You don;t have to do it alone.  Allow me to be your ally in healing.",Michael SamarIntegrative Psychotherapist and Mindfulness Coach
R24,"People who feel worthless were, in one way or another, were told that they are worthless. This is the lie that they are living with. The work of therapy is to help people see their true good selves. This gives them self esteem.",Michael GreeneTherapy That Focuses on Root Causes
R25,"I'm sorry to hear you're feeling this intense emotion of worthlessness.  I'm glad to hear this has not reached the point of suicidal ideation; however, it does sounds like you could use some additional support right now.  I would recommend seeking out counseling to help you challenge the negative beliefs you have about yourself.  Although many types of therapy would be helpful, cognitive-behavioral therapy has been shown to be a good approach for this type of struggle.  A CBT therapist can help you identify your negative thoughts and beliefs, figure out the ways your thoughts are being distorted (for example, all-or-nothing thinking, or discounting the positives about yourself), and reframe your thoughts to be more positive.  You might also consider EMDR therapy, which helps the brain reprocess traumatic or distressing memories and helps you move forward with more positive beliefs about yourself.  Best wishes!",Janna KinnerFlourish Christian Counseling
